Time Performed:   9/2/2014  9:37 AM,
-0.3,-0.000017727
-0.299,-1.75966E-05
-0.298,-1.75348E-05
-0.297,-1.74398E-05
-0.296,-1.73885E-05
-0.295,-1.73174E-05
-0.294,-1.71488E-05
-0.293,-1.69676E-05
-0.292,-1.70417E-05
-0.291,-1.69724E-05
-0.29,-1.67902E-05
-0.289,-1.68788E-05
-0.288,-1.67763E-05
-0.287,-0.000016767
-0.286,-1.66566E-05
-0.285,-1.65124E-05
-0.284,-1.64367E-05
-0.283,-1.63742E-05
-0.282,-1.62674E-05
-0.281,-1.62017E-05
-0.28,-1.61171E-05
-0.279,-1.60313E-05
-0.278,-0.00001597
-0.277,-0.0000159
-0.276,-1.60254E-05
-0.275,-1.57305E-05
-0.274,-1.56589E-05
-0.273,-0.000015577
-0.272,-1.54828E-05
-0.271,-1.54005E-05
-0.27,-1.51548E-05
-0.269,-1.53788E-05
-0.268,-1.50648E-05
-0.267,-1.51304E-05
-0.266,-1.51186E-05
-0.265,-1.49367E-05
-0.264,-0.000015075
-0.263,-1.50262E-05
-0.262,-1.49255E-05
-0.261,-0.000014758
-0.26,-1.46926E-05
-0.259,-1.45808E-05
-0.258,-1.44246E-05
-0.257,-1.42643E-05
-0.256,-1.41393E-05
-0.255,-1.41971E-05
-0.254,-1.41285E-05
-0.253,-1.40368E-05
-0.252,-1.39472E-05
-0.251,-1.38837E-05
-0.25,-1.37642E-05
-0.249,-1.37327E-05
-0.248,-1.36245E-05
-0.247,-1.35772E-05
-0.246,-1.35109E-05
-0.245,-1.34203E-05
-0.244,-1.33438E-05
-0.243,-1.32558E-05
-0.242,-1.31938E-05
-0.241,-1.31336E-05
-0.24,-1.31592E-05
-0.239,-1.31309E-05
-0.238,-1.29267E-05
-0.237,-0.000012781
-0.236,-0.000012809
-0.235,-1.27771E-05
-0.234,-1.26188E-05
-0.233,-1.25195E-05
-0.232,-1.25015E-05
-0.231,-1.25666E-05
-0.23,-1.23472E-05
-0.229,-1.22239E-05
-0.228,-1.21844E-05
-0.227,-1.20796E-05
-0.226,-0.000011999
-0.225,-1.19533E-05
-0.224,-1.18688E-05
-0.223,-1.18026E-05
-0.222,-0.000011744
-0.221,-1.16388E-05
-0.22,-1.16824E-05
-0.219,-1.15008E-05
-0.218,-1.14587E-05
-0.217,-1.13078E-05
-0.216,-1.12797E-05
-0.215,-1.11873E-05
-0.214,-1.11552E-05
-0.213,-1.10685E-05
-0.212,-1.10446E-05
-0.211,-1.07741E-05
-0.21,-1.07201E-05
-0.209,-1.08527E-05
-0.208,-1.08186E-05
-0.207,-1.06666E-05
-0.206,-1.04957E-05
-0.205,-1.05341E-05
-0.204,-1.05915E-05
-0.203,-1.04349E-05
-0.202,-1.03655E-05
-0.201,-1.03189E-05
-0.2,-1.02465E-05
-0.199,-1.01299E-05
-0.198,-1.00272E-05
-0.197,-9.9794E-06
-0.196,-9.9955E-06
-0.195,-9.88489E-06
-0.194,-9.82807E-06
-0.193,-9.70619E-06
-0.192,-0.000009645
-0.191,-9.57594E-06
-0.19,-0.000009513
-0.189,-9.43782E-06
-0.188,-9.22583E-06
-0.187,-9.19019E-06
-0.186,-9.17982E-06
-0.185,-9.04467E-06
-0.184,-8.9911E-06
-0.183,-8.88255E-06
-0.182,-8.83021E-06
-0.181,-8.75626E-06
-0.18,-8.67766E-06
-0.179,-8.60842E-06
-0.178,-8.56327E-06
-0.177,-8.48762E-06
-0.176,-8.4074E-06
-0.175,-8.39674E-06
-0.174,-8.33313E-06
-0.173,-8.27275E-06
-0.172,-8.20083E-06
-0.171,-8.11865E-06
-0.17,-8.07277E-06
-0.169,-7.97237E-06
-0.168,-0.000007921
-0.167,-7.8572E-06
-0.166,-7.82922E-06
-0.165,-0.000007735
-0.164,-7.66226E-06
-0.163,-7.58611E-06
-0.162,-7.50274E-06
-0.161,-7.52735E-06
-0.16,-7.45226E-06
-0.159,-7.38829E-06
-0.158,-7.34488E-06
-0.157,-7.25145E-06
-0.156,-7.17939E-06
-0.155,-7.13224E-06
-0.154,-7.04951E-06
-0.153,-0.000006998
-0.152,-6.93336E-06
-0.151,-6.88713E-06
-0.15,-6.81065E-06
-0.149,-6.7796E-06
-0.148,-6.71937E-06
-0.147,-6.64978E-06
-0.146,-6.55438E-06
-0.145,-0.000006525
-0.144,-6.46237E-06
-0.143,-6.3731E-06
-0.142,-6.38631E-06
-0.141,-6.31554E-06
-0.14,-6.25025E-06
-0.139,-6.21122E-06
-0.138,-6.1391E-06
-0.137,-6.11977E-06
-0.136,-0.000006022
-0.135,-5.99673E-06
-0.134,-5.95352E-06
-0.133,-5.86907E-06
-0.132,-5.82167E-06
-0.131,-5.78912E-06
-0.13,-5.69544E-06
-0.129,-5.67376E-06
-0.128,-5.59308E-06
-0.127,-5.58927E-06
-0.126,-5.51507E-06
-0.125,-5.43144E-06
-0.124,-5.38785E-06
-0.123,-5.30968E-06
-0.122,-5.2933E-06
-0.121,-5.26908E-06
-0.12,-5.15886E-06
-0.119,-0.000005121
-0.118,-5.08427E-06
-0.117,-0.000004984
-0.116,-4.99791E-06
-0.115,-4.88744E-06
-0.114,-4.84639E-06
-0.113,-4.82483E-06
