Time Performed:   9/2/2014  9:40 AM,
-0.3,-1.55687E-05
-0.299,-1.55085E-05
-0.298,-1.54429E-05
-0.297,-1.52913E-05
-0.296,-1.55118E-05
-0.295,-1.52765E-05
-0.294,-1.50831E-05
-0.293,-1.52009E-05
-0.292,-1.49226E-05
-0.291,-1.47903E-05
-0.29,-1.46647E-05
-0.289,-1.45502E-05
-0.288,-1.45261E-05
-0.287,-1.45127E-05
-0.286,-1.44339E-05
-0.285,-0.000014658
-0.284,-1.46148E-05
-0.283,-0.000014806
-0.282,-1.47538E-05
-0.281,-1.47294E-05
-0.28,-1.44214E-05
-0.279,-1.44771E-05
-0.278,-1.45155E-05
-0.277,-1.41979E-05
-0.276,-1.40331E-05
-0.275,-1.37773E-05
-0.274,-1.36409E-05
-0.273,-1.36699E-05
-0.272,-0.000013576
-0.271,-1.34691E-05
-0.27,-1.29511E-05
-0.269,-1.32548E-05
-0.268,-1.35091E-05
-0.267,-1.32613E-05
-0.266,-1.38701E-05
-0.265,-1.39055E-05
-0.264,-1.33855E-05
-0.263,-1.29295E-05
-0.262,-1.25575E-05
-0.261,-1.28673E-05
-0.26,-1.28783E-05
-0.259,-1.30629E-05
-0.258,-1.30163E-05
-0.257,-1.34351E-05
-0.256,-1.33575E-05
-0.255,-1.28837E-05
-0.254,-1.26744E-05
-0.253,-0.00001282
-0.252,-1.31207E-05
-0.251,-1.29765E-05
-0.25,-1.26197E-05
-0.249,-0.000012582
-0.248,-1.23558E-05
-0.247,-1.27655E-05
-0.246,-0.000012733
-0.245,-1.26059E-05
-0.244,-0.000012565
-0.243,-1.24842E-05
-0.242,-1.24222E-05
-0.241,-0.000012049
-0.24,-1.17807E-05
-0.239,-1.17155E-05
-0.238,-1.22918E-05
-0.237,-0.000012301
-0.236,-1.18354E-05
-0.235,-1.14995E-05
-0.234,-1.16097E-05
-0.233,-1.13386E-05
-0.232,-1.12234E-05
-0.231,-1.05531E-05
-0.23,-1.11953E-05
-0.229,-1.12262E-05
-0.228,-0.000011063
-0.227,-0.000010957
-0.226,-1.08686E-05
-0.225,-1.08508E-05
-0.224,-1.07872E-05
-0.223,-1.07197E-05
-0.222,-1.06796E-05
-0.221,-1.05349E-05
-0.22,-1.04997E-05
-0.219,-1.04252E-05
-0.218,-1.03478E-05
-0.217,-1.02995E-05
-0.216,-1.02445E-05
-0.215,-1.01499E-05
-0.214,-1.00842E-05
-0.213,-1.00667E-05
-0.212,-0.000009975
-0.211,-9.89091E-06
-0.21,-9.83554E-06
-0.209,-9.77441E-06
-0.208,-0.000009717
-0.207,-9.69029E-06
-0.206,-9.52606E-06
-0.205,-9.4616E-06
-0.204,-9.3942E-06
-0.203,-9.31446E-06
